地名,センター,燃やして処理するごみ,燃やさないで処理するごみ,衣類,資源物,有害ごみ,粗大ごみ（ふとん類含む）,家電４品目,直接持ち込みごみ,受け入れしないごみ, ,
奥上林地区（古屋以外）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,金1:12; 火2:9; 木2:10 2; 金2:8 11 1 3; 火3:5 6 7; 水3:4,金1:12; 火2:9; 木2:10 2; 金2:8 11 1 3; 火3:5 6 7; 水3:4,,,,,,
奥上林地区（古屋）,（月・木コース）：クリーンセンターＡ,月1:5 6 8 9 10 11 12 1 2 3; 月2:4 7; 月3:5 6 8 9 10 11 12 1 2 3; 月4:4 7; 日5:12,,,,,,,,,,
中上林地区（大町）大杉以外,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,金1:12; 火2:9; 木2:10 2; 金2:8 11 1 3; 火3:5 6 7; 水3:4,金1:12; 火2:9; 木2:10 2; 金2:8 11 1 3; 火3:5 6 7; 水3:4,,,,,,
中上林地区（弓削）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,金1:12; 火2:9; 木2:10 2; 金2:8 11 1 3; 火3:5 6 7; 水3:4,金1:12; 火2:9; 木2:10 2; 金2:8 11 1 3; 火3:5 6 7; 水3:4,,,,,,
中上林地区（第一区）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,,,,,,
中上林地区（石橋）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,,,,,,
中上林地区（馬場）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,,,,,,
中上林地区（山田）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,,,,,,
中上林地区（竹原）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,,,,,,
中上林地区（瀬尾谷）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,,,,,,
中上林地区（片山）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,,,,,,
中上林地区（大町）大杉,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,,,,,,
中上林地区（遊里）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,,,,,,
中上林地区（清水）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,,,,,,
中上林地区（睦志）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,,,,,,
中上林地区（辻）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,,,,,,
